"","GSM95424","GSM95425","GSM95444","GSM95324","GSM95421","GSM95423","GSM95325","GSM95420","GSM95422","GSM95290","GSM95292","GSM95293","GSM95262","GSM95263","GSM95291","GSM95112","GSM95114","GSM95242","GSM95237","GSM95239","GSM95256","GSM95236","GSM95259","GSM95295","GSM95194","GSM95296","GSM95323","GSM95260","GSM95261","GSM95294"
"150164_at",3.2045,3.19353,3.44947,3.40539,3.07973,3.36491,3.23177,3.3363,3.25138,3.08112,3.03219,3.17854,3.04453,3.08315,3.00705,3.12027,3.09162,3.23156,3.18845,3.02101,3.21163,3.34472,3.3076,3.19993,3.31232,3.07977,3.03728,3.30631,2.96271,3.31321
"150165_at",4.56995,4.34781,4.35979,4.45251,4.48782,4.47986,4.65661,4.45385,4.70265,4.4288,4.09478,4.36577,4.35428,4.25304,4.331,4.45975,4.59296,4.35282,4.20501,4.34517,4.405,4.42672,4.44611,4.37833,4.54759,4.35678,4.21556,4.70476,4.45181,4.63293
"150166_at",4.32212,4.35969,4.24011,4.34263,4.5704,4.45141,4.44743,4.40354,4.33182,4.31244,4.15043,4.39844,4.43019,4.38359,4.15559,4.47156,4.35572,4.31051,4.19998,4.39446,4.38503,4.47611,4.4533,4.36016,4.36645,4.33026,4.28756,4.48908,4.49313,4.48624
"150167_at",3.50514,3.73226,3.63584,3.70908,3.59603,3.55219,3.67217,3.5944,3.88456,3.52826,3.49135,3.67738,3.42915,3.63848,3.50893,3.77853,3.62423,3.49815,3.55579,3.51499,3.57085,3.91935,3.63421,3.59115,3.55313,3.54822,3.62519,3.71463,3.6846,3.87812
"150168_at",5.49381,5.5367,5.52918,5.70383,5.545,5.50723,5.33854,5.41977,5.53959,5.18813,5.36593,5.34001,5.48728,5.27213,5.3075,5.61682,5.4934,5.42431,5.37264,5.47549,5.52469,5.39445,5.33553,5.47132,5.57846,5.58961,5.25199,5.66415,5.54803,5.58549
"150169_at",4.35416,4.31151,4.58009,4.34322,4.50136,4.58821,4.28902,4.4997,4.48869,4.4142,4.35419,4.71583,4.2364,4.38422,4.42021,4.15821,4.51851,4.27708,4.34754,4.35239,4.41315,4.58718,4.43705,4.48558,4.38755,4.34078,4.49704,4.363,4.62386,4.62091
"150170_at",6.86872,7.08696,6.63517,6.88939,6.63521,6.81353,6.9245,7.00476,6.81892,7.0615,7.4283,7.11737,7.3656,6.86336,7.34164,7.37838,7.17988,7.38241,7.27298,7.15048,7.34932,7.14881,6.146,7.24933,7.12475,7.17009,7.21928,6.99438,7.11441,6.7873
"150171_at",5.19893,4.99613,5.33574,5.03048,5.20194,5.29252,5.35793,5.26156,5.37912,5.30309,5.14007,5.18099,5.23413,5.39464,5.1287,4.92681,5.05983,5.10801,5.10524,5.36476,5.07674,5.14362,5.40933,5.15449,5.07692,5.24743,5.16977,5.41481,5.13636,5.4051
"150172_at",5.49917,5.47638,5.71292,5.72121,5.68835,5.57988,5.83359,5.66054,5.67514,5.5693,5.49282,5.77555,5.66704,5.6128,5.7093,5.6783,5.85076,5.64337,5.61215,5.7235,5.65473,5.83435,5.82369,5.75697,5.76901,5.58948,5.54432,5.7711,5.90202,5.87695
"150173_at",4.92321,4.79892,4.91165,4.80686,4.81614,4.77662,4.77621,4.8287,4.93579,4.78414,4.79103,4.87595,4.70956,4.78312,4.96076,4.81564,4.91032,4.73036,4.78019,4.82012,4.85426,5.00164,4.85937,4.75066,4.85274,4.87912,4.92282,4.97538,4.89754,4.72132
"150174_at",4.49484,4.52259,4.68449,4.75419,4.73078,4.5808,4.83456,4.71265,4.7612,4.57716,4.54545,4.75175,4.5171,4.82661,4.64302,4.78765,4.6295,4.77595,4.66461,4.55413,4.76597,4.84135,4.83442,4.64228,4.77077,4.68585,4.69163,4.63031,4.65955,4.92738
"150175_at",5.77123,5.9185,5.77333,5.8438,6.15302,5.94609,5.90427,5.889,5.85363,5.79714,5.73386,5.93698,5.90034,5.96556,5.81115,5.92122,6.14726,5.77943,5.81609,5.96423,5.79789,6.08381,5.8602,5.81514,5.90477,5.87787,5.6665,5.7993,5.90149,6.162
"150176_at",3.78525,3.72967,3.71662,3.73059,3.83766,3.52519,3.58015,3.59833,3.86572,3.71392,3.70489,3.80771,3.80634,3.77709,3.66221,3.98842,3.71269,3.7092,3.73318,3.7652,3.67203,3.75431,3.92883,3.74435,3.73894,3.74032,3.77621,3.73969,3.94424,3.85248
"150177_at",4.76733,4.76164,4.60336,4.86259,4.94074,4.76565,4.85706,4.96402,4.91121,4.73446,4.60102,4.65135,4.65403,4.91657,4.57183,5.01403,4.96209,4.64575,4.68779,4.75229,4.63507,4.89052,4.91133,4.74996,4.87724,4.66035,4.83494,4.9426,4.9457,4.78344
"150178_at",3.54156,3.53152,3.55535,3.54521,3.77911,3.6466,3.56234,3.43027,3.47606,3.48761,3.33549,3.56201,3.25755,3.45633,3.50774,3.49332,3.58039,3.53234,3.5686,3.52007,3.41095,3.57826,3.45738,3.38468,3.67545,3.33964,3.61534,3.84909,3.59556,3.67471
"150179_at",8.1509,7.90327,8.19723,7.6674,8.06273,8.13127,8.29385,8.22353,8.27937,8.25635,8.17522,8.18229,8.17771,8.41497,8.13177,7.52801,7.58421,8.0806,8.09211,8.20491,7.80801,7.83957,8.73276,8.09744,7.69805,8.22758,8.10583,8.211,8.14528,8.10425
"150180_at",3.33492,3.40926,3.18046,3.7449,3.32688,3.54833,3.45798,3.49953,3.53311,3.2382,3.30761,3.2833,3.22396,3.3096,3.26682,3.36021,3.30169,3.32216,3.23376,3.3144,3.16252,3.33589,3.30643,3.3887,3.34914,3.28008,3.29706,3.57848,3.21438,3.37208
"150181_at",6.86785,6.84122,6.70609,6.92017,6.89793,6.80786,6.77342,6.87692,6.78507,6.61953,6.90259,6.78789,6.87525,6.65502,7.02249,6.91812,6.89803,6.75617,6.98074,6.875,6.75365,6.52207,7.03815,6.862,6.81511,6.92456,7.09867,6.83527,6.78246,6.60375
